wo_id,asset_id,technician_id,wo_type,priority,status,description,created_at,started_at,completed_at,downtime_hours,failure_code
WO-00176,AST-0017,TECH-0015,Corrective,High,Completed,Hydraulic leak repair,2023-09-24 13:00:00,2023-09-24 14:22:18,2023-09-25 05:40:06,1.11,AVN-001
WO-00177,AST-0001,TECH-0007,Preventive,Medium,Completed,Scheduled 500-hr inspection,2023-10-14 13:00:00,2023-10-14 18:32:44,2023-10-15 10:07:16,3.17,
WO-00178,AST-0029,,Preventive,High,Open,Scheduled 500-hr inspection,2023-01-31 20:00:00,,,,
WO-00179,AST-0012,TECH-0013,Emergency,Medium,Completed,Fire warning system fault,2023-04-03 18:00:00,2023-04-03 19:30:56,2023-04-06 01:17:50,41.47,MEC-002
WO-00180,AST-0017,TECH-0005,Corrective,Medium,Completed,Electrical fault trace,2023-10-04 08:00:00,2023-10-04 13:24:05,2023-10-05 13:26:20,10.33,HYD-001
WO-00181,AST-0009,TECH-0007,Inspection,Low,Completed,Pre-flight walkaround,2023-10-06 12:00:00,2023-10-06 16:29:22,2023-10-16 06:51:45,63.8,
WO-00182,AST-0023,TECH-0002,Preventive,Medium,Completed,Lubrication service,2023-01-09 09:00:00,2023-01-09 11:02:44,2023-01-10 03:15:31,7.75,
WO-00183,AST-0002,TECH-0005,Inspection,Medium,In Progress,NDT check,2023-04-22 18:00:00,2023-04-23 00:58:40,,,
WO-00184,AST-0022,TECH-0017,Preventive,Low,Completed,Lubrication service,2023-10-23 15:00:00,2023-10-23 21:17:38,2023-11-02 08:59:37,159.62,
WO-00185,AST-0002,TECH-0012,Corrective,High,Completed,Engine vibration fix,2023-10-30 20:00:00,2023-10-31 02:00:50,2023-10-31 19:01:53,7.57,
WO-00186,AST-0028,TECH-0005,Corrective,Medium,Completed,Engine vibration fix,2023-06-03 12:00:00,2023-06-03 13:52:44,2023-06-04 17:17:28,4.94,HYD-001
WO-00187,AST-0028,TECH-0012,Corrective,Low,Completed,Hydraulic leak repair,2023-03-10 12:00:00,2023-03-10 14:19:17,2023-03-15 09:24:22,84.91,STR-001
WO-00188,AST-0024,TECH-0018,Inspection,High,Completed,Borescope inspection,2023-12-11 15:00:00,2023-12-11 20:01:18,2023-12-13 02:47:44,18.75,
WO-00189,AST-0016,TECH-0008,Corrective,Low,Completed,Electrical fault trace,2023-01-08 09:00:00,2023-01-08 16:31:43,2023-01-16 22:05:32,157.98,MEC-002
WO-00190,AST-0016,TECH-0015,Emergency,Medium,Completed,AOG engine fault,2023-07-14 13:00:00,2023-07-14 17:30:08,2023-07-15 22:01:36,11.7,
WO-00191,AST-0001,TECH-0009,Emergency,Medium,Completed,Fire warning system fault,2023-04-15 11:00:00,2023-04-15 13:50:48,2023-04-18 02:54:26,36.21,ELE-003
WO-00192,AST-0016,TECH-0016,Preventive,High,Completed,Torque check,2023-05-06 13:00:00,2023-05-06 17:37:47,2023-05-08 05:46:55,22.08,
WO-00193,AST-0029,TECH-0018,Preventive,Low,In Progress,Scheduled 500-hr inspection,2023-10-07 13:00:00,2023-10-07 14:52:49,,,
WO-00194,AST-0025,,Corrective,Low,Open,Hydraulic leak repair,2023-12-09 06:00:00,,,,MEC-002
WO-00195,AST-0007,,Preventive,Medium,Open,Torque check,2023-03-19 06:00:00,,,,
WO-00196,AST-0001,TECH-0001,Corrective,Medium,Completed,Landing gear snag,2023-11-12 20:00:00,2023-11-13 00:07:26,2023-11-13 14:52:51,6.51,STR-001
WO-00197,AST-0005,TECH-0008,Emergency,Critical,Completed,Emergency hydraulic failure,2023-12-12 12:00:00,2023-12-12 18:32:46,2023-12-12 23:11:18,0.36,STR-002
WO-00198,AST-0008,TECH-0010,Corrective,Low,Completed,Hydraulic leak repair,2023-07-23 07:00:00,2023-07-23 10:17:52,2023-07-27 19:05:17,83.01,
WO-00199,AST-0013,,Emergency,Medium,Open,Fire warning system fault,2023-07-27 12:00:00,,,,HYD-001
WO-00200,AST-0026,,Corrective,Medium,Open,Landing gear snag,2023-08-11 16:00:00,,,,STR-002
WO-00201,AST-0002,TECH-0003,Emergency,Low,Completed,Critical avionics failure,2023-01-22 09:00:00,2023-01-22 11:05:08,2023-02-07 18:44:57,148.99,STR-001
WO-00202,AST-0013,TECH-0003,Corrective,Critical,Completed,Landing gear snag,2023-06-11 06:00:00,2023-06-11 13:42:39,2023-06-11 16:46:04,1.74,ELE-001
WO-00203,AST-0023,TECH-0003,Corrective,Medium,Completed,Landing gear snag,2023-12-13 20:00:00,2023-12-14 00:33:15,2023-12-16 06:54:01,34.37,HYD-001
WO-00204,AST-0020,,Preventive,High,Open,Torque check,2023-11-06 18:00:00,,,,
WO-00205,AST-0019,TECH-0013,Emergency,High,Completed,AOG engine fault,2023-08-19 13:00:00,2023-08-19 15:12:39,2023-08-20 02:46:07,1.72,
WO-00206,AST-0011,TECH-0012,Corrective,Low,Completed,Hydraulic leak repair,2023-02-12 10:00:00,2023-02-12 11:39:23,2023-02-17 05:07:41,67.14,HYD-002
WO-00207,AST-0014,TECH-0004,Preventive,High,Completed,Scheduled 500-hr inspection,2023-05-19 07:00:00,2023-05-19 08:29:37,2023-05-19 21:22:22,5.72,
WO-00208,AST-0029,TECH-0018,Preventive,Medium,Completed,Lubrication service,2023-06-16 19:00:00,2023-06-16 22:23:21,2023-06-18 09:43:49,2.39,
WO-00209,AST-0014,TECH-0010,Corrective,High,Completed,Engine vibration fix,2023-03-13 10:00:00,2023-03-13 12:45:30,2023-03-13 18:41:50,2.07,
WO-00210,AST-0007,TECH-0015,Preventive,High,In Progress,Scheduled 500-hr inspection,2023-11-17 13:00:00,2023-11-17 17:57:12,,,
WO-00211,AST-0028,TECH-0020,Preventive,Critical,Completed,Lubrication service,2023-11-14 12:00:00,2023-11-14 18:31:50,2023-11-14 20:20:05,1.18,
WO-00212,AST-0021,TECH-0016,Preventive,Medium,Completed,Lubrication service,2023-09-03 11:00:00,2023-09-03 12:49:56,2023-09-04 20:27:56,18.6,
WO-00213,AST-0025,TECH-0018,Preventive,High,Completed,Scheduled 500-hr inspection,2023-07-06 07:00:00,2023-07-06 14:29:25,2023-07-07 13:14:28,3.27,
WO-00214,AST-0014,TECH-0016,Emergency,Medium,Completed,Emergency hydraulic failure,2023-08-13 18:00:00,2023-08-13 20:41:05,2023-08-16 07:18:32,37.32,
WO-00215,AST-0015,TECH-0020,Preventive,High,In Progress,Torque check,2023-08-05 18:00:00,2023-08-05 21:19:38,,,
WO-00216,AST-0018,TECH-0020,Corrective,Medium,Completed,Hydraulic leak repair,2023-12-21 12:00:00,2023-12-21 16:34:38,2023-12-26 07:24:23,79.4,HYD-002
WO-00217,AST-0025,TECH-0011,Inspection,Medium,Completed,Annual compliance check,2023-11-28 15:00:00,2023-11-28 15:49:56,2023-12-04 16:59:57,46.41,
WO-00218,AST-0019,TECH-0008,Preventive,Critical,In Progress,Torque check,2023-09-23 14:00:00,2023-09-23 18:51:13,,,
WO-00219,AST-0030,TECH-0003,Corrective,Medium,Completed,Hydraulic leak repair,2023-12-20 14:00:00,2023-12-20 15:37:50,2023-12-25 19:46:11,29.34,
WO-00220,AST-0011,TECH-0003,Preventive,High,Completed,Filter replacement,2023-04-16 14:00:00,2023-04-16 18:07:19,2023-04-17 06:48:32,7.07,
WO-00221,AST-0004,,Preventive,Medium,Open,Lubrication service,2023-06-25 16:00:00,,,,
WO-00222,AST-0021,TECH-0006,Emergency,Medium,Completed,Emergency hydraulic failure,2023-10-10 08:00:00,2023-10-10 10:58:56,2023-10-12 02:20:00,25.11,
WO-00223,AST-0025,TECH-0003,Corrective,Medium,Completed,Hydraulic leak repair,2023-04-12 13:00:00,2023-04-12 17:56:29,2023-04-14 22:23:50,8.64,
WO-00224,AST-0020,TECH-0013,Inspection,High,Completed,Annual compliance check,2023-08-23 07:00:00,2023-08-23 09:28:03,2023-08-25 04:27:55,21.98,
WO-00225,AST-0003,TECH-0005,Corrective,High,Completed,Landing gear snag,2023-11-13 08:00:00,2023-11-13 14:36:10,2023-11-14 00:45:25,4.99,HYD-002
WO-00226,AST-0016,TECH-0018,Preventive,High,Completed,Lubrication service,2023-03-14 14:00:00,2023-03-14 17:24:48,2023-03-15 08:33:35,5.13,
WO-00227,AST-0002,TECH-0012,Corrective,Medium,In Progress,Hydraulic leak repair,2023-06-11 19:00:00,2023-06-11 22:52:57,,,AVN-001
WO-00228,AST-0022,TECH-0016,Preventive,Low,Cancelled,Torque check,2023-09-16 16:00:00,2023-09-16 20:12:44,,,
WO-00229,AST-0008,TECH-0010,Inspection,Medium,In Progress,Pre-flight walkaround,2023-10-17 06:00:00,2023-10-17 12:28:08,,,
WO-00230,AST-0025,TECH-0016,Preventive,Medium,In Progress,Scheduled 500-hr inspection,2023-08-23 15:00:00,2023-08-23 21:04:07,,,
WO-00231,AST-0014,TECH-0004,Corrective,High,Completed,Electrical fault trace,2023-07-07 14:00:00,2023-07-07 20:40:10,2023-07-08 14:24:40,7.75,ELE-003
WO-00232,AST-0024,TECH-0019,Inspection,Critical,Completed,NDT check,2023-02-14 13:00:00,2023-02-14 19:59:22,2023-02-14 23:13:31,0.54,
WO-00233,AST-0018,TECH-0009,Inspection,Medium,Completed,Borescope inspection,2023-11-12 08:00:00,2023-11-12 14:23:10,2023-11-19 05:22:26,72.51,
WO-00234,AST-0025,TECH-0014,Preventive,Medium,Completed,Scheduled 500-hr inspection,2023-05-17 19:00:00,2023-05-17 23:21:29,2023-05-24 15:23:51,17.36,
WO-00235,AST-0011,TECH-0008,Emergency,Low,In Progress,Fire warning system fault,2023-03-09 09:00:00,2023-03-09 10:35:48,,,AVN-001
WO-00236,AST-0024,TECH-0009,Preventive,Medium,Completed,Filter replacement,2023-07-12 13:00:00,2023-07-12 14:03:58,2023-07-19 01:06:21,49.97,
WO-00237,AST-0026,TECH-0018,Corrective,Medium,Completed,Engine vibration fix,2023-02-17 17:00:00,2023-02-18 00:47:28,2023-02-20 04:50:41,35.4,ELE-002
WO-00238,AST-0026,TECH-0011,Emergency,Low,Completed,AOG engine fault,2023-06-15 19:00:00,2023-06-15 21:37:37,2023-06-17 23:40:54,34.13,HYD-001
WO-00239,AST-0007,TECH-0005,Preventive,Low,Completed,Filter replacement,2023-03-05 20:00:00,2023-03-06 02:55:56,2023-03-07 12:37:03,25.82,
WO-00240,AST-0013,TECH-0010,Preventive,Low,Completed,Lubrication service,2023-12-02 11:00:00,2023-12-02 13:22:40,2023-12-08 16:51:24,19.53,
WO-00241,AST-0003,,Corrective,Critical,Open,Electrical fault trace,2023-04-20 13:00:00,,,,STR-002
WO-00242,AST-0027,,Preventive,Medium,Open,Scheduled 500-hr inspection,2023-12-23 11:00:00,,,,
WO-00243,AST-0024,TECH-0004,Emergency,Medium,In Progress,AOG engine fault,2023-02-06 09:00:00,2023-02-06 12:22:22,,,MEC-001
WO-00244,AST-0021,TECH-0006,Corrective,High,Completed,Engine vibration fix,2023-03-10 16:00:00,2023-03-10 23:56:49,2023-03-11 14:17:46,0.1,MEC-001
WO-00245,AST-0028,TECH-0007,Inspection,Medium,In Progress,Pre-flight walkaround,2023-07-30 15:00:00,2023-07-30 20:38:57,,,
WO-00246,AST-0011,TECH-0005,Inspection,High,In Progress,Borescope inspection,2023-07-16 11:00:00,2023-07-16 18:43:27,,,
WO-00247,AST-0022,TECH-0010,Preventive,Critical,Completed,Lubrication service,2023-11-04 17:00:00,2023-11-04 22:03:25,2023-11-05 06:11:59,5.52,
WO-00248,AST-0004,TECH-0008,Corrective,Medium,Completed,Engine vibration fix,2023-06-01 16:00:00,2023-06-01 16:54:33,2023-06-09 00:00:49,69.33,
WO-00249,AST-0013,TECH-0019,Corrective,Medium,Cancelled,Engine vibration fix,2023-07-04 20:00:00,2023-07-04 22:52:24,,,MEC-001
WO-00250,AST-0026,TECH-0013,Corrective,High,Completed,Landing gear snag,2023-02-07 06:00:00,2023-02-07 10:54:18,2023-02-07 19:35:18,6.41,
WO-00251,AST-0003,TECH-0017,Inspection,Low,Completed,Borescope inspection,2023-07-25 07:00:00,2023-07-25 12:18:14,2023-07-27 17:08:30,3.53,
WO-00252,AST-0014,TECH-0008,Emergency,High,Completed,AOG engine fault,2023-10-28 16:00:00,2023-10-28 22:13:27,2023-10-29 14:36:03,4.06,ELE-002
WO-00253,AST-0023,TECH-0005,Preventive,Medium,Completed,Scheduled 500-hr inspection,2023-11-08 06:00:00,2023-11-08 08:49:10,2023-11-10 15:12:54,5.2,
WO-00254,AST-0004,TECH-0001,Preventive,Low,Completed,Filter replacement,2023-05-13 08:00:00,2023-05-13 11:17:20,2023-05-19 10:56:41,84.23,
WO-00255,AST-0021,,Inspection,High,Open,Pre-flight walkaround,2023-12-31 15:00:00,,,,
WO-00256,AST-0012,,Corrective,Medium,Open,Electrical fault trace,2023-10-18 08:00:00,,,,ELE-003
WO-00257,AST-0002,TECH-0016,Inspection,Low,Completed,NDT check,2023-03-01 09:00:00,2023-03-01 15:03:21,2023-03-07 12:51:02,1.39,
WO-00258,AST-0008,TECH-0014,Corrective,High,Completed,Landing gear snag,2023-01-19 14:00:00,2023-01-19 20:31:24,2023-01-20 13:07:33,2.98,ELE-003
WO-00259,AST-0008,TECH-0017,Inspection,Medium,In Progress,Pre-flight walkaround,2023-12-11 20:00:00,2023-12-11 20:53:42,,,
WO-00260,AST-0007,TECH-0010,Emergency,Critical,Completed,Critical avionics failure,2023-05-25 18:00:00,2023-05-26 00:50:10,2023-05-26 03:17:44,0.02,
WO-00261,AST-0005,TECH-0001,Corrective,Medium,Completed,Engine vibration fix,2023-09-10 18:00:00,2023-09-11 00:19:08,2023-09-12 20:14:00,27.96,HYD-001
WO-00262,AST-0004,TECH-0007,Preventive,High,Completed,Lubrication service,2023-01-05 11:00:00,2023-01-05 11:30:39,2023-01-06 07:35:35,11.68,
WO-00263,AST-0002,TECH-0008,Corrective,Low,Cancelled,Engine vibration fix,2023-03-14 17:00:00,2023-03-14 19:35:55,,,
WO-00264,AST-0002,TECH-0014,Inspection,Medium,Completed,Borescope inspection,2023-10-25 07:00:00,2023-10-25 11:17:26,2023-10-26 22:59:08,16.9,
WO-00265,AST-0007,TECH-0005,Preventive,High,Completed,Scheduled 500-hr inspection,2023-07-21 17:00:00,2023-07-21 23:44:21,2023-07-22 12:41:20,2.42,
WO-00266,AST-0009,TECH-0004,Preventive,High,Completed,Scheduled 500-hr inspection,2023-07-28 07:00:00,2023-07-28 11:31:09,2023-07-29 18:59:39,7.76,
WO-00267,AST-0008,TECH-0012,Preventive,Medium,Completed,Torque check,2023-12-23 15:00:00,2023-12-23 15:48:08,2023-12-28 03:12:15,7.84,
WO-00268,AST-0004,TECH-0015,Corrective,Medium,Completed,Hydraulic leak repair,2023-03-31 06:00:00,2023-03-31 13:38:26,2023-04-06 01:41:01,58.11,
WO-00269,AST-0007,,Inspection,High,Open,Annual compliance check,2023-04-24 08:00:00,,,,
WO-00270,AST-0029,TECH-0015,Corrective,Medium,Completed,Electrical fault trace,2023-10-26 15:00:00,2023-10-26 17:26:28,2023-10-29 19:47:44,3.84,HYD-002
WO-00271,AST-0016,TECH-0001,Emergency,Low,Completed,Fire warning system fault,2023-01-22 13:00:00,2023-01-22 13:52:47,2023-02-03 03:02:06,160.62,
WO-00272,AST-0021,TECH-0010,Corrective,Medium,Completed,Engine vibration fix,2023-05-21 10:00:00,2023-05-21 13:50:42,2023-05-23 13:24:24,23.48,MEC-002
WO-00273,AST-0014,,Inspection,Medium,Open,Borescope inspection,2023-07-16 08:00:00,,,,
WO-00274,AST-0013,TECH-0012,Corrective,Low,In Progress,Engine vibration fix,2023-10-06 18:00:00,2023-10-06 18:38:47,,,STR-001
WO-00275,AST-0026,TECH-0009,Inspection,High,Completed,Pre-flight walkaround,2023-06-14 12:00:00,2023-06-14 14:31:41,2023-06-15 06:04:34,0.36,
WO-00276,AST-0027,TECH-0002,Inspection,Medium,Completed,Borescope inspection,2023-10-27 09:00:00,2023-10-27 16:48:17,2023-10-29 18:40:31,10.63,
WO-00277,AST-0019,TECH-0001,Corrective,Low,Completed,Landing gear snag,2023-03-30 08:00:00,2023-03-30 10:16:26,2023-04-04 16:52:31,36.34,STR-002
WO-00278,AST-0016,TECH-0002,Corrective,Medium,In Progress,Hydraulic leak repair,2023-09-10 14:00:00,2023-09-10 16:49:04,,,HYD-001
WO-00279,AST-0030,TECH-0011,Preventive,High,Completed,Scheduled 500-hr inspection,2023-01-01 11:00:00,2023-01-01 18:23:03,2023-01-02 01:31:58,4.1,
WO-00280,AST-0022,TECH-0013,Preventive,Medium,Completed,Scheduled 500-hr inspection,2023-02-26 19:00:00,2023-02-26 23:26:49,2023-02-27 17:45:50,10.32,
WO-00281,AST-0016,TECH-0011,Preventive,High,Cancelled,Lubrication service,2023-08-12 18:00:00,2023-08-12 23:17:40,,,
WO-00282,AST-0024,TECH-0010,Inspection,Medium,Completed,Borescope inspection,2023-11-11 18:00:00,2023-11-11 21:10:34,2023-11-14 07:33:24,17.67,
WO-00283,AST-0011,TECH-0020,Preventive,Critical,Completed,Lubrication service,2023-10-21 12:00:00,2023-10-21 18:52:50,2023-10-22 02:17:08,1.08,
WO-00284,AST-0003,TECH-0011,Corrective,High,Completed,Engine vibration fix,2023-06-19 17:00:00,2023-06-19 18:05:00,2023-06-20 04:38:05,5.37,HYD-001
WO-00285,AST-0004,,Preventive,High,Open,Scheduled 500-hr inspection,2023-05-12 18:00:00,,,,
WO-00286,AST-0027,TECH-0016,Preventive,Medium,Completed,Lubrication service,2023-03-27 20:00:00,2023-03-27 23:36:18,2023-04-01 13:32:17,33.01,
WO-00287,AST-0013,TECH-0006,Preventive,Critical,Completed,Scheduled 500-hr inspection,2023-05-31 06:00:00,2023-05-31 08:53:25,2023-05-31 13:20:08,0.6,
WO-00288,AST-0029,,Corrective,Low,Open,Engine vibration fix,2023-11-01 15:00:00,,,,
WO-00289,AST-0011,TECH-0007,Preventive,Low,In Progress,Lubrication service,2023-08-11 08:00:00,2023-08-11 08:54:06,,,
WO-00290,AST-0018,TECH-0016,Corrective,Medium,Completed,Electrical fault trace,2023-10-04 10:00:00,2023-10-04 15:27:16,2023-10-05 11:02:02,6.15,HYD-001
WO-00291,AST-0010,TECH-0003,Corrective,Medium,Completed,Engine vibration fix,2023-12-05 16:00:00,2023-12-05 21:00:05,2023-12-06 12:47:28,2.16,HYD-002
WO-00292,AST-0012,TECH-0006,Preventive,Medium,Completed,Torque check,2023-12-05 10:00:00,2023-12-05 11:11:00,2023-12-06 11:34:01,17.27,
WO-00293,AST-0012,TECH-0018,Preventive,Medium,Completed,Torque check,2023-05-18 15:00:00,2023-05-18 15:57:44,2023-05-24 16:02:55,9.88,
WO-00294,AST-0019,TECH-0008,Emergency,Medium,Completed,Fire warning system fault,2023-07-18 19:00:00,2023-07-18 23:25:09,2023-07-25 01:37:21,109.52,ELE-003
WO-00295,AST-0004,TECH-0015,Preventive,Low,Completed,Lubrication service,2023-09-15 15:00:00,2023-09-15 22:15:12,2023-09-30 00:59:31,168.09,
WO-00296,AST-0003,TECH-0014,Emergency,High,In Progress,Emergency hydraulic failure,2023-04-09 08:00:00,2023-04-09 08:49:12,,,
WO-00297,AST-0015,TECH-0001,Preventive,Medium,Completed,Torque check,2023-02-04 07:00:00,2023-02-04 10:24:38,2023-02-05 18:25:17,7.07,
WO-00298,AST-0026,TECH-0010,Preventive,High,Completed,Filter replacement,2023-10-26 18:00:00,2023-10-27 01:44:10,2023-10-27 08:26:15,4.18,
WO-00299,AST-0022,TECH-0013,Inspection,High,Completed,Pre-flight walkaround,2023-10-20 15:00:00,2023-10-20 19:02:52,2023-10-21 07:06:04,5.96,
WO-00300,AST-0026,TECH-0010,Corrective,Low,Completed,Landing gear snag,2023-01-26 17:00:00,2023-01-26 21:03:50,2023-01-30 05:35:29,21.77,ELE-003
WO-00301,AST-0024,TECH-0014,Inspection,Low,Completed,Pre-flight walkaround,2023-04-27 08:00:00,2023-04-27 10:45:12,2023-05-02 21:52:53,33.66,
WO-00302,AST-0003,TECH-0010,Preventive,High,Completed,Torque check,2023-09-06 18:00:00,2023-09-06 22:22:25,2023-09-07 04:11:07,3.68,
WO-00303,AST-0015,TECH-0002,Preventive,Low,Completed,Filter replacement,2023-01-15 08:00:00,2023-01-15 09:56:44,2023-01-31 04:51:49,75.63,
WO-00304,AST-0020,TECH-0015,Inspection,High,Completed,Borescope inspection,2023-09-16 12:00:00,2023-09-16 17:15:56,2023-09-16 22:36:56,1.59,
WO-00305,AST-0001,TECH-0013,Emergency,Medium,Completed,AOG engine fault,2023-06-26 08:00:00,2023-06-26 14:46:56,2023-06-29 02:02:57,4.29,ELE-001
WO-00306,AST-0007,TECH-0009,Inspection,Low,In Progress,Annual compliance check,2023-04-24 16:00:00,2023-04-24 18:11:18,,,
WO-00307,AST-0005,TECH-0006,Corrective,Low,Cancelled,Hydraulic leak repair,2023-12-16 06:00:00,2023-12-16 10:03:20,,,ELE-002
WO-00308,AST-0007,TECH-0015,Preventive,Low,Completed,Filter replacement,2023-12-30 16:00:00,2023-12-30 18:33:55,2024-01-15 17:09:54,140.49,
WO-00309,AST-0021,TECH-0020,Corrective,Low,Completed,Landing gear snag,2023-02-22 06:00:00,2023-02-22 10:20:10,2023-02-28 06:11:24,41.87,ELE-003
WO-00310,AST-0021,TECH-0010,Corrective,Medium,Completed,Electrical fault trace,2023-05-22 16:00:00,2023-05-22 18:56:18,2023-05-24 20:46:08,37.96,ELE-001
WO-00311,AST-0022,,Corrective,High,Open,Landing gear snag,2023-11-04 12:00:00,,,,
WO-00312,AST-0019,TECH-0007,Preventive,Critical,Completed,Filter replacement,2023-06-01 10:00:00,2023-06-01 17:18:06,2023-06-01 20:18:43,1.4,
WO-00313,AST-0022,TECH-0018,Inspection,High,Completed,Borescope inspection,2023-09-01 20:00:00,2023-09-02 03:33:18,2023-09-02 13:45:30,1.39,
WO-00314,AST-0008,TECH-0012,Preventive,Medium,Completed,Lubrication service,2023-10-14 18:00:00,2023-10-15 01:20:40,2023-10-22 02:30:01,88.56,
WO-00315,AST-0028,TECH-0019,Inspection,High,Completed,Pre-flight walkaround,2023-06-19 11:00:00,2023-06-19 13:27:15,2023-06-20 09:34:33,7.57,
WO-00316,AST-0014,TECH-0002,Corrective,High,In Progress,Electrical fault trace,2023-12-15 12:00:00,2023-12-15 16:28:25,,,ELE-001
WO-00317,AST-0023,TECH-0006,Emergency,High,Cancelled,AOG engine fault,2023-08-23 08:00:00,2023-08-23 10:52:22,,,AVN-001
WO-00318,AST-0006,TECH-0016,Preventive,Low,Completed,Scheduled 500-hr inspection,2023-01-30 06:00:00,2023-01-30 09:53:25,2023-02-04 20:57:24,60.42,
WO-00319,AST-0001,TECH-0011,Preventive,Medium,Completed,Lubrication service,2023-08-08 13:00:00,2023-08-08 16:22:29,2023-08-09 17:32:35,7.51,
WO-00320,AST-0010,TECH-0006,Preventive,Critical,Completed,Scheduled 500-hr inspection,2023-04-26 17:00:00,2023-04-27 00:04:38,2023-04-27 01:11:07,0.45,
WO-00321,AST-0029,TECH-0016,Inspection,High,Completed,NDT check,2023-09-24 15:00:00,2023-09-24 19:25:51,2023-09-25 12:35:34,1.84,
WO-00322,AST-0019,TECH-0017,Inspection,High,Completed,Borescope inspection,2023-07-26 06:00:00,2023-07-26 08:12:47,2023-07-26 15:22:29,4.21,
WO-00323,AST-0002,TECH-0004,Preventive,Medium,Completed,Scheduled 500-hr inspection,2023-07-12 20:00:00,2023-07-13 01:18:08,2023-07-18 20:36:03,66.19,
WO-00324,AST-0001,TECH-0010,Preventive,High,Completed,Torque check,2023-03-05 14:00:00,2023-03-05 16:23:43,2023-03-06 00:53:40,4.66,
WO-00325,AST-0004,TECH-0010,Corrective,Medium,Completed,Hydraulic leak repair,2023-11-07 17:00:00,2023-11-07 18:31:43,2023-11-11 05:51:34,47.92,
WO-00326,AST-0007,TECH-0012,Preventive,High,In Progress,Torque check,2023-05-15 19:00:00,2023-05-15 23:25:24,,,
WO-00327,AST-0030,TECH-0004,Preventive,Critical,Completed,Torque check,2023-04-17 17:00:00,2023-04-18 00:29:54,2023-04-18 01:18:23,0.43,
WO-00328,AST-0015,TECH-0002,Preventive,Critical,Completed,Scheduled 500-hr inspection,2023-02-21 20:00:00,2023-02-21 22:25:09,2023-02-22 02:11:06,0.89,
WO-00329,AST-0029,TECH-0002,Inspection,Low,Completed,Pre-flight walkaround,2023-07-04 18:00:00,2023-07-04 23:34:32,2023-07-06 23:46:45,32.83,
WO-00330,AST-0020,TECH-0009,Inspection,Medium,In Progress,Pre-flight walkaround,2023-07-03 20:00:00,2023-07-03 23:46:58,,,
WO-00331,AST-0013,TECH-0016,Corrective,High,In Progress,Engine vibration fix,2023-07-24 13:00:00,2023-07-24 15:32:19,,,
WO-00332,AST-0014,TECH-0019,Inspection,High,In Progress,Annual compliance check,2023-01-31 19:00:00,2023-01-31 20:41:43,,,
WO-00333,AST-0001,TECH-0005,Inspection,Medium,In Progress,Annual compliance check,2023-07-14 18:00:00,2023-07-14 21:11:22,,,
WO-00334,AST-0025,TECH-0019,Emergency,High,Completed,Emergency hydraulic failure,2023-01-24 07:00:00,2023-01-24 09:27:43,2023-01-25 02:56:39,9.48,
WO-00335,AST-0021,TECH-0013,Inspection,Medium,Completed,Borescope inspection,2023-11-13 07:00:00,2023-11-13 10:44:46,2023-11-15 03:10:14,21.46,
WO-00336,AST-0006,TECH-0017,Inspection,Medium,Cancelled,Annual compliance check,2023-01-28 06:00:00,2023-01-28 11:19:31,,,
WO-00337,AST-0008,,Inspection,Low,Open,NDT check,2023-09-09 11:00:00,,,,
WO-00338,AST-0008,TECH-0003,Emergency,Critical,In Progress,Fire warning system fault,2023-11-26 12:00:00,2023-11-26 15:31:28,,,AVN-001
WO-00339,AST-0014,TECH-0002,Inspection,Medium,Completed,Pre-flight walkaround,2023-08-17 11:00:00,2023-08-17 12:23:25,2023-08-19 14:04:20,4.08,
WO-00340,AST-0018,TECH-0007,Inspection,Low,Cancelled,Annual compliance check,2023-11-23 10:00:00,2023-11-23 17:10:32,,,
WO-00341,AST-0015,,Emergency,Medium,Open,Critical avionics failure,2023-04-25 19:00:00,,,,STR-001
WO-00342,AST-0012,TECH-0010,Inspection,Medium,Completed,NDT check,2023-07-06 17:00:00,2023-07-06 20:53:38,2023-07-08 22:52:30,0.09,
WO-00343,AST-0024,TECH-0014,Inspection,Critical,In Progress,Pre-flight walkaround,2023-03-13 19:00:00,2023-03-14 00:52:35,,,
WO-00344,AST-0026,TECH-0007,Preventive,High,In Progress,Filter replacement,2023-07-21 09:00:00,2023-07-21 12:55:40,,,
WO-00345,AST-0017,TECH-0005,Preventive,Medium,Completed,Torque check,2023-12-11 15:00:00,2023-12-11 16:25:26,2023-12-16 17:49:19,57.23,
WO-00346,AST-0023,TECH-0019,Preventive,Medium,Completed,Lubrication service,2023-08-10 19:00:00,2023-08-10 23:53:18,2023-08-17 12:14:42,113.85,
WO-00347,AST-0030,TECH-0008,Inspection,High,Completed,NDT check,2023-11-04 15:00:00,2023-11-04 22:07:12,2023-11-05 09:50:38,9.19,
WO-00348,AST-0023,TECH-0018,Corrective,High,Completed,Landing gear snag,2023-03-10 08:00:00,2023-03-10 11:35:44,2023-03-11 05:52:02,4.37,
WO-00349,AST-0022,TECH-0012,Inspection,Medium,In Progress,Borescope inspection,2023-04-18 15:00:00,2023-04-18 20:51:28,,,
WO-00350,AST-0011,TECH-0004,Emergency,Medium,Cancelled,Critical avionics failure,2023-09-15 14:00:00,2023-09-15 19:42:26,,,STR-001
WO-00351,AST-0026,TECH-0001,Corrective,Medium,Completed,Hydraulic leak repair,2023-08-02 16:00:00,2023-08-02 22:06:32,2023-08-07 04:59:21,69.74,HYD-001
